District,Station,x,y,longitude,latitude,date,Homicide Total,Assault (Family) Total,Assault (Non-Family) Total,Stealing of Motor Vehicle, Stealing Total, Property Damage Total, Arson Total,Drug Offences Total,Regulated Weapons Offences
Armadale,Armadale,116.0172929,-32.15147671,116.0172929,-32.15147671,1/12/2007,1,65,65,63,507,323,11,80,21
Armadale,Canning Vale,115.9368138,-32.06286601,115.9368138,-32.06286601,1/12/2007,1,65,65,63,507,323,11,80,21
Armadale,Gosnells,116.0034899,-32.07342991,116.0034899,-32.07342991,1/12/2007,1,65,65,63,507,323,11,80,21
Armadale,Mundijong,115.9799239,-32.29805247,115.9799239,-32.29805247,1/12/2007,1,65,65,63,507,323,11,80,21
Armadale,Armadale,116.0172929,-32.15147671,115.9799239,-32.06286601,1/12/2008,0,57,75,27,396,344,11,102,17
Armadale,Canning Vale,115.9368138,-32.06286601,115.9799239,-32.06286601,1/12/2008,0,57,75,27,396,344,11,102,17
Armadale,Gosnells,116.0034899,-32.07342991,115.9799239,-32.07342991,1/12/2008,0,57,75,27,396,344,11,102,17
Armadale,Mundijong,115.9799239,-32.29805247,115.9799239,-32.29805247,1/12/2008,0,57,75,27,396,344,11,102,17
Armadale,Armadale,116.0172929,-32.15147671,115.9799239,-32.06286601,1/12/2009,0,74,124,49,369,304,11,150,16
Armadale,Canning Vale,115.9368138,-32.06286601,115.9799239,-32.06286601,1/12/2009,0,74,124,49,369,304,11,150,16
Armadale,Gosnells,116.0034899,-32.07342991,115.9799239,-32.07342991,1/12/2009,0,74,124,49,369,304,11,150,16
Armadale,Mundijong,115.9799239,-32.29805247,115.9799239,-32.29805247,1/12/2009,0,74,124,49,369,304,11,150,16
Armadale,Armadale,116.0172929,-32.15147671,115.9799239,-32.06286601,1/12/2010,0,91,68,50,422,315,6,69,19
Armadale,Canning Vale,115.9368138,-32.06286601,115.9799239,-32.06286601,1/12/2010,0,91,68,50,422,315,6,69,19
Armadale,Gosnells,116.0034899,-32.07342991,115.9799239,-32.07342991,1/12/2010,0,91,68,50,422,315,6,69,19
Armadale,Mundijong,115.9799239,-32.29805247,115.9799239,-32.29805247,1/12/2010,0,91,68,50,422,315,6,69,19
Armadale,Armadale,116.0172929,-32.15147671,115.9799239,-32.06286601,1/12/2011,1,87,61,64,539,239,8,74,9
Armadale,Canning Vale,115.9368138,-32.06286601,115.9799239,-32.06286601,1/12/2011,1,87,61,64,539,239,8,74,9
Armadale,Gosnells,116.0034899,-32.07342991,115.9799239,-32.07342991,1/12/2011,1,87,61,64,539,239,8,74,9
Armadale,Mundijong,115.9799239,-32.29805247,115.9799239,-32.29805247,1/12/2011,1,87,61,64,539,239,8,74,9
Armadale,Armadale,116.0172929,-32.15147671,115.9368138,-32.06286601,1/12/2012,3,136,79,101,575,244,10,105,11
Armadale,Canning Vale,115.9368138,-32.06286601,115.9368138,-32.06286601,1/12/2012,3,136,79,101,575,244,10,105,11
Armadale,Gosnells,116.0034899,-32.07342991,116.0034899,-32.07342991,1/12/2012,3,136,79,101,575,244,10,105,11
Armadale,Mundijong,115.9799239,-32.29805247,115.9799239,-32.29805247,1/12/2012,3,136,79,101,575,244,10,105,11
Armadale,Armadale,116.0172929,-32.15147671,115.9368138,-32.06286601,1/12/2013,1,125,95,77,502,242,12,88,15
