Month and Year,Homicide Total,Assault (Family) Total,Assault (Non-Family) Total,Stealing of Motor Vehicle,Stealing Total,Property Damage Total,Arson Total,Drug Offences Total,Regulated Weapons Offences
1/01/2007,0,73,68,73,582,306,10,90,9
1/02/2007,0,55,61,72,568,260,9,102,14
1/03/2007,1,62,77,71,601,268,13,86,13
1/04/2007,0,42,88,46,500,245,12,144,5
1/05/2007,0,40,86,50,592,253,6,138,22
1/06/2007,2,42,65,41,537,260,11,149,19
1/07/2007,0,35,66,47,597,269,6,110,11
1/08/2007,0,40,68,51,512,283,4,136,22
1/09/2007,4,58,62,51,468,291,8,103,16
1/10/2007,0,42,57,56,507,284,12,84,13
1/11/2007,0,54,95,53,504,268,8,70,9
1/12/2007,1,65,65,63,507,323,11,80,21
1/01/2008,0,56,87,63,524,301,8,65,15
1/02/2008,0,61,90,48,523,322,8,95,22
1/03/2008,0,40,82,53,539,284,14,94,15
1/04/2008,2,58,81,58,582,291,10,87,25
1/05/2008,0,48,64,53,679,276,15,132,15
1/06/2008,0,40,71,48,553,293,11,134,45
1/07/2008,0,30,47,59,526,320,6,185,30
1/08/2008,0,39,79,74,530,326,16,88,13
1/09/2008,0,40,85,46,613,357,7,119,30
1/10/2008,0,49,106,47,524,296,7,103,13
1/11/2008,0,49,82,49,456,364,5,96,20
1/12/2008,0,57,75,27,396,344,11,102,17
1/01/2009,0,67,80,61,487,331,15,99,12
1/02/2009,0,59,77,45,533,311,10,70,7
1/03/2009,1,56,93,41,459,375,18,94,15
1/04/2009,0,60,75,48,358,295,15,78,15
1/05/2009,0,55,101,60,496,317,21,84,12
1/06/2009,0,59,77,58,443,295,4,214,28
1/07/2009,0,61,72,39,356,294,10,146,22
1/08/2009,0,68,100,34,335,266,15,121,11
1/09/2009,0,64,93,40,363,246,8,93,12
1/10/2009,1,51,111,48,462,363,9,93,11
1/11/2009,0,72,111,38,358,299,13,82,20
1/12/2009,0,74,124,49,369,304,11,150,16
1/01/2010,4,65,88,53,357,309,9,68,7
1/02/2010,2,49,78,28,386,198,6,95,14
1/03/2010,1,53,82,59,404,218,12,59,12
1/04/2010,0,45,73,63,360,215,6,89,24
1/05/2010,0,35,53,51,424,228,5,111,7
1/06/2010,1,49,59,64,392,179,9,108,24
1/07/2010,0,43,67,48,374,211,6,83,10
1/08/2010,0,58,81,57,338,232,11,94,10
1/09/2010,2,53,64,54,453,217,7,101,13
1/10/2010,1,62,63,39,469,260,11,81,7
1/11/2010,0,87,97,56,494,297,9,76,12
1/12/2010,0,91,68,50,422,315,6,69,19
1/01/2011,0,87,83,81,433,270,12,58,24
1/02/2011,1,88,78,68,444,232,6,73,6
1/03/2011,0,66,79,64,410,225,6,80,13
1/04/2011,1,57,70,46,403,195,5,44,15
1/05/2011,0,72,56,77,419,225,4,84,2
1/06/2011,1,78,59,74,412,186,1,131,15
1/07/2011,0,87,56,72,411,209,6,90,7
1/08/2011,1,78,80,73,423,243,13,84,10
1/09/2011,0,71,55,52,457,228,6,104,9
1/10/2011,0,84,63,67,543,285,5,71,13
1/11/2011,0,67,64,40,490,235,7,70,11
1/12/2011,1,87,61,64,539,239,8,74,9
1/01/2012,3,89,74,61,484,304,6,106,15
1/02/2012,0,102,60,66,482,238,11,112,24
1/03/2012,1,103,62,55,495,246,13,119,16
1/04/2012,0,89,60,67,499,269,8,116,29
1/05/2012,2,80,82,81,636,205,6,120,15
1/06/2012,2,99,41,50,536,219,4,91,19
1/07/2012,0,87,72,60,426,204,8,129,19
1/08/2012,0,105,75,66,463,210,3,108,21
1/09/2012,0,110,73,44,477,202,5,107,26
1/10/2012,0,116,73,93,550,266,7,147,33
1/11/2012,1,103,65,73,564,283,1,80,27
1/12/2012,3,136,79,101,575,244,10,105,11
1/01/2013,1,133,73,93,596,294,6,79,11
1/02/2013,1,88,61,84,504,278,9,130,19
1/03/2013,0,107,75,80,477,307,4,122,22
1/04/2013,2,107,63,72,452,288,5,78,37
1/05/2013,0,95,57,55,470,255,7,114,22
1/06/2013,1,94,71,64,457,208,9,160,11
1/07/2013,0,106,60,51,388,206,4,151,22
1/08/2013,1,101,77,54,424,212,4,165,31
1/09/2013,0,120,66,82,413,208,9,114,25
1/10/2013,0,119,45,100,492,213,9,151,34
1/11/2013,2,117,92,76,545,276,11,86,26
1/12/2013,1,125,95,77,502,242,12,88,15
1/01/2014,0,127,101,91,607,277,12,142,23
1/02/2014,0,123,82,82,513,181,16,102,37
1/03/2014,0,128,74,68,593,244,14,129,24
1/04/2014,1,89,60,54,495,189,7,137,25
1/05/2014,0,100,73,63,623,223,8,158,25
1/06/2014,2,99,78,58,557,189,9,126,31
1/07/2014,0,98,54,58,518,206,10,141,30
1/08/2014,1,143,76,59,508,203,11,165,17
1/09/2014,1,122,57,70,559,207,2,145,33
1/10/2014,0,135,75,56,609,225,6,163,24
1/11/2014,0,125,68,47,640,204,5,157,28
1/12/2014,0,161,77,57,569,232,14,197,35
1/01/2015,0,141,94,86,583,256,12,169,35
1/02/2015,0,115,82,63,635,212,12,140,25
1/03/2015,3,136,95,76,622,225,9,182,34
1/04/2015,2,163,85,59,605,231,5,182,43
1/05/2015,1,141,79,65,684,250,8,174,28
1/06/2015,1,159,73,66,814,295,9,173,31
1/07/2015,0,128,77,58,706,277,5,151,16
1/08/2015,3,152,67,85,686,278,5,239,46
