Month and Year,Homicide Total,Assault (Family) Total,Assault (Non-Family) Total,Stealing of Motor Vehicle,Stealing Total,Property Damage Total,Arson Total,Drug Offences Total,Regulated Weapons Offences
1/01/2007,3,67,90,99,852,373,3,117,10
1/02/2007,0,60,76,75,727,360,6,120,16
1/03/2007,0,53,82,89,748,389,7,120,7
1/04/2007,0,50,90,71,744,341,5,81,12
1/05/2007,5,47,79,105,840,329,5,142,14
1/06/2007,1,47,81,50,778,321,3,128,29
1/07/2007,0,54,74,77,777,335,8,120,14
1/08/2007,1,61,85,88,878,409,2,127,16
1/09/2007,0,52,84,84,787,395,5,153,12
1/10/2007,0,60,79,75,846,431,9,87,10
1/11/2007,0,60,110,53,732,375,17,112,10
1/12/2007,1,65,114,70,713,591,9,110,40
1/01/2008,0,65,129,80,801,433,17,130,9
1/02/2008,0,60,93,83,784,366,9,133,15
1/03/2008,0,65,77,85,735,351,16,104,10
1/04/2008,0,41,76,71,770,348,6,94,14
1/05/2008,2,47,83,82,893,361,6,163,26
1/06/2008,0,29,78,72,876,396,6,127,24
1/07/2008,0,41,92,64,785,300,5,139,18
1/08/2008,0,39,83,73,743,263,10,110,33
1/09/2008,2,33,88,67,710,300,5,115,16
1/10/2008,1,43,80,68,772,389,19,161,9
1/11/2008,2,42,84,68,667,327,11,137,19
1/12/2008,0,64,82,67,567,358,5,151,15
1/01/2009,2,77,113,72,652,364,10,134,10
1/02/2009,1,54,87,74,634,361,9,108,14
1/03/2009,0,62,136,106,582,338,5,152,19
1/04/2009,1,50,89,73,520,310,9,151,14
1/05/2009,0,36,104,88,560,298,10,240,14
1/06/2009,0,57,77,46,681,360,4,153,5
1/07/2009,2,53,98,69,562,358,6,147,23
1/08/2009,0,53,96,50,551,329,5,140,17
1/09/2009,0,59,69,48,614,256,5,134,20
1/10/2009,1,48,90,54,580,302,8,94,12
1/11/2009,1,53,81,44,481,256,8,83,6
1/12/2009,0,58,99,49,556,298,4,76,11
1/01/2010,0,72,81,69,560,313,15,86,8
1/02/2010,0,50,90,51,552,269,9,130,16
1/03/2010,1,51,96,51,635,289,3,102,4
1/04/2010,1,47,62,58,616,273,4,71,8
1/05/2010,1,38,78,40,609,219,3,131,9
1/06/2010,1,56,63,62,512,234,5,80,7
1/07/2010,0,48,80,56,519,225,6,151,12
1/08/2010,0,58,60,59,575,236,10,98,16
1/09/2010,0,62,95,68,638,244,2,129,20
1/10/2010,1,63,76,76,652,298,12,52,9
1/11/2010,1,83,110,79,653,261,10,68,10
1/12/2010,1,85,113,78,594,299,8,73,10
1/01/2011,1,73,97,45,593,246,6,66,14
1/02/2011,2,72,65,69,577,240,7,59,6
1/03/2011,0,69,91,89,673,297,5,69,27
1/04/2011,1,77,78,75,658,237,5,78,3
1/05/2011,2,44,69,96,802,276,3,83,15
1/06/2011,0,63,62,63,703,277,4,79,25
1/07/2011,0,54,53,71,727,252,7,173,13
1/08/2011,0,76,77,65,793,276,5,81,13
1/09/2011,0,84,65,62,775,275,7,80,23
1/10/2011,0,61,87,100,871,327,6,83,17
1/11/2011,0,66,95,83,748,285,6,88,18
1/12/2011,3,88,69,58,688,276,5,73,10
1/01/2012,2,88,90,86,680,331,3,96,7
1/02/2012,2,65,80,98,694,226,8,85,11
1/03/2012,0,83,80,109,786,345,2,95,17
1/04/2012,0,70,62,125,854,358,5,141,25
1/05/2012,0,62,70,107,850,280,7,126,14
1/06/2012,1,60,69,70,641,215,3,103,10
1/07/2012,1,71,59,79,679,223,8,87,6
1/08/2012,2,76,79,57,692,259,2,102,17
1/09/2012,0,62,70,83,847,276,2,101,6
1/10/2012,2,76,62,104,751,262,8,123,7
1/11/2012,1,84,76,88,758,251,6,98,7
1/12/2012,0,96,90,126,1008,313,6,83,12
1/01/2013,0,90,80,103,864,290,9,98,8
1/02/2013,0,83,81,98,794,323,5,86,9
1/03/2013,0,82,79,103,920,334,3,74,18
1/04/2013,1,76,73,75,821,313,8,108,8
1/05/2013,1,73,69,91,800,244,4,94,9
1/06/2013,2,65,74,54,784,223,8,125,19
1/07/2013,0,81,54,76,664,224,10,90,15
1/08/2013,1,78,79,82,697,247,5,122,12
1/09/2013,0,66,51,88,779,220,3,116,16
1/10/2013,2,84,58,110,756,278,6,132,15
1/11/2013,1,98,106,99,828,264,16,100,15
1/12/2013,0,88,87,98,772,229,6,151,10
1/01/2014,0,111,66,81,724,229,4,126,12
1/02/2014,0,66,84,76,754,216,1,126,69
1/03/2014,0,102,59,91,854,244,3,113,20
1/04/2014,1,82,74,78,806,232,4,143,26
1/05/2014,0,68,47,78,873,229,1,111,15
1/06/2014,1,79,61,52,811,245,3,149,29
1/07/2014,0,78,61,57,788,271,12,157,39
1/08/2014,0,76,58,67,922,262,3,166,24
1/09/2014,0,83,56,77,936,187,11,178,23
1/10/2014,2,94,60,85,961,253,3,181,22
1/11/2014,0,93,82,70,865,248,6,151,16
1/12/2014,0,111,69,61,836,266,13,214,34
1/01/2015,0,110,62,72,883,297,11,164,42
1/02/2015,1,91,80,89,840,259,7,189,34
1/03/2015,0,85,76,83,1010,231,7,185,33
1/04/2015,0,80,58,90,855,284,4,194,28
1/05/2015,1,114,58,87,914,236,4,261,36
1/06/2015,0,104,69,90,999,320,11,193,35
1/07/2015,0,111,75,104,1056,342,7,264,36
1/08/2015,1,102,77,87,1028,252,9,222,45
1/09/2015,0,153,83,84,1162,315,3,248,29
1/10/2015,3,119,84,108,1092,310,8,183,22
1/11/2015,0,110,82,82,1175,277,5,309,30
1/12/2015,0,154,78,101,1192,332,11,163,23
1/01/2016,1,162,79,122,1093,352,8,174,33
1/02/2016,0,132,80,112,1068,291,3,253,34
1/03/2016,0,141,121,104,953,281,7,287,37
1/04/2016,1,112,99,89,913,278,1,206,18
1/05/2016,0,105,71,100,1129,250,6,274,33
1/06/2016,1,105,90,81,899,272,6,144,17
1/07/2016,0,127,88,78,791,229,2,200,46
1/08/2016,0,113,83,80,816,272,5,237,33
1/09/2016,0,101,70,78,865,247,6,231,28
1/10/2016,0,118,73,95,923,302,5,216,29
1/11/2016,1,126,111,86,945,297,5,213,16
1/12/2016,0,122,92,99,770,296,9,201,23
1/01/2017,0,124,88,92,997,380,14,221,35
1/02/2017,0,107,77,72,850,251,2,153,22
1/03/2017,0,108,86,63,841,292,7,252,27
1/04/2017,2,122,78,53,673,242,3,203,29
1/05/2017,1,102,79,79,775,249,2,205,26
1/06/2017,0,100,76,80,684,181,4,216,34
1/07/2017,0,101,60,54,668,213,3,230,21
1/08/2017,0,136,69,58,683,225,4,225,39
1/09/2017,0,97,64,45,751,248,6,193,22
1/10/2017,0,113,54,56,724,276,10,249,31
1/11/2017,0,124,93,51,695,231,2,255,19
1/12/2017,1,144,76,63,769,244,2,179,26
1/01/2018,2,116,75,67,876,265,2,175,19
1/02/2018,0,119,75,71,993,227,9,188,29
1/03/2018,0,139,71,72,988,294,2,199,23
1/04/2018,0,98,65,56,921,243,0,210,26
1/05/2018,3,101,73,56,912,198,4,207,36
1/06/2018,0,81,61,67,1080,229,3,310,31
1/07/2018,0,108,59,57,1022,202,5,222,28
1/08/2018,0,120,59,38,882,201,2,326,30
1/09/2018,1,103,54,44,802,200,8,217,49
1/10/2018,1,128,92,65,929,217,4,236,68
1/11/2018,0,135,84,47,870,210,4,166,37
1/12/2018,1,148,112,69,801,208,10,158,23
1/01/2019,0,143,67,70,851,180,4,184,40
1/02/2019,1,125,54,66,810,179,3,132,24
1/03/2019,0,120,93,58,839,209,7,187,30
1/04/2019,0,114,80,62,795,213,5,187,17
1/05/2019,0,99,74,60,936,213,1,214,33
1/06/2019,0,104,74,62,926,202,3,216,22
1/07/2019,0,94,63,59,922,198,6,177,21
1/08/2019,1,116,96,59,1041,228,4,196,33
1/09/2019,1,142,75,64,917,209,7,117,12
1/10/2019,1,132,84,67,1113,234,9,118,26
1/11/2019,0,103,69,61,1086,209,2,170,21
1/12/2019,1,158,115,60,883,256,9,164,13
1/01/2020,0,145,86,72,979,258,14,176,24
1/02/2020,1,123,77,52,871,210,0,182,26
1/03/2020,0,147,76,63,1022,243,5,125,10
1/04/2020,2,116,51,49,633,189,4,183,23
1/05/2020,0,121,73,47,482,156,3,243,54
1/06/2020,0,115,76,31,526,156,3,187,22
1/07/2020,1,127,69,35,520,200,9,211,19
1/08/2020,1,119,93,24,443,176,7,174,28
1/09/2020,0,115,73,30,495,161,6,174,16
1/10/2020,0,130,85,36,525,151,4,137,16
1/11/2020,0,137,64,41,580,162,3,433,35
1/12/2020,1,176,72,45,659,182,4,174,25
1/01/2021,0,157,82,56,662,213,5,149,24
1/02/2021,0,136,80,39,646,202,9,100,21
1/03/2021,4,147,92,67,779,229,7,210,31
1/04/2021,0,152,69,58,797,184,5,134,23
1/05/2021,0,152,89,49,1005,280,4,135,18
1/06/2021,0,120,119,46,958,213,9,102,28
1/07/2021,0,131,83,47,923,214,1,138,18
1/08/2021,0,150,113,45,883,234,4,117,13
1/09/2021,1,140,76,44,726,209,4,157,32
1/10/2021,0,128,82,60,897,240,4,111,25
1/11/2021,1,126,106,52,779,233,5,110,18
1/12/2021,0,179,112,55,736,197,6,96,10
1/01/2022,0,171,98,40,753,217,3,101,17
1/02/2022,0,157,99,51,754,190,2,111,12
1/03/2022,0,159,86,52,875,221,5,130,14
1/04/2022,0,168,100,59,837,195,5,134,18
1/05/2022,0,153,100,52,893,229,1,142,23
1/06/2022,0,144,71,54,893,197,2,140,19
1/07/2022,0,139,95,45,867,211,4,109,10
1/08/2022,0,158,119,47,801,219,5,176,10
1/09/2022,0,158,118,56,852,209,8,147,17
1/10/2022,0,137,110,81,972,215,3,153,20
1/11/2022,1,164,108,53,958,242,6,131,25
1/12/2022,0,164,137,69,1013,263,1,172,16
