Month and Year,Homicide Total,Assault (Family) Total,Assault (Non-Family) Total,Stealing of Motor Vehicle,Stealing Total,Property Damage Total,Arson Total,Drug Offences Total,Regulated Weapons Offences
1/01/2007,2,52,97,94,980,485,10,128,15
1/02/2007,1,58,91,95,782,402,9,108,20
1/03/2007,1,60,111,80,874,437,12,117,25
1/04/2007,0,50,79,74,774,345,7,121,11
1/05/2007,0,49,92,80,828,396,10,176,20
1/06/2007,0,43,67,55,737,371,8,230,27
1/07/2007,0,55,87,65,657,342,6,110,8
1/08/2007,1,36,89,70,701,385,17,149,8
1/09/2007,0,51,90,66,745,354,11,118,21
1/10/2007,0,49,96,88,811,395,11,104,5
1/11/2007,0,61,121,62,738,398,8,142,22
1/12/2007,0,63,97,63,690,374,6,117,16
1/01/2008,3,55,117,80,840,438,6,100,14
1/02/2008,1,42,110,122,731,392,9,115,22
1/03/2008,1,46,101,117,774,392,21,132,14
1/04/2008,1,28,83,88,793,346,5,89,16
1/05/2008,0,49,97,91,839,367,3,156,27
1/06/2008,1,38,78,75,761,386,11,139,18
1/07/2008,2,45,73,80,663,312,8,107,9
1/08/2008,1,40,84,69,664,302,4,132,11
1/09/2008,0,35,97,68,660,332,6,107,9
1/10/2008,1,46,117,83,813,394,4,85,3
1/11/2008,0,55,108,71,683,356,6,120,6
1/12/2008,1,50,83,58,683,357,14,112,14
1/01/2009,0,41,103,73,805,410,9,100,7
1/02/2009,0,55,95,72,775,302,9,145,19
1/03/2009,0,34,122,91,827,395,11,139,16
1/04/2009,0,27,72,114,814,394,3,128,10
1/05/2009,0,31,84,84,838,376,9,138,8
1/06/2009,0,41,92,100,878,418,8,133,20
1/07/2009,0,38,77,67,612,368,8,131,15
1/08/2009,0,54,86,79,625,334,7,150,15
1/09/2009,0,35,77,45,675,343,11,132,17
1/10/2009,0,34,98,56,686,368,6,128,6
1/11/2009,0,46,94,42,559,330,4,122,17
1/12/2009,0,40,114,44,748,317,6,122,21
1/01/2010,1,45,102,82,703,352,6,65,12
1/02/2010,1,40,83,55,633,289,6,78,7
1/03/2010,0,53,110,72,755,314,8,118,18
1/04/2010,1,39,106,80,630,306,10,112,8
1/05/2010,1,38,91,70,656,278,7,123,17
1/06/2010,0,30,78,57,573,238,1,108,17
1/07/2010,1,42,52,62,499,283,3,123,15
1/08/2010,2,37,92,56,591,266,3,61,16
1/09/2010,0,45,74,59,659,317,8,98,15
1/10/2010,0,48,121,56,634,325,7,99,12
1/11/2010,0,53,85,41,656,266,16,122,12
1/12/2010,0,70,90,46,613,299,10,94,9
1/01/2011,0,65,85,80,722,335,12,68,12
1/02/2011,0,56,93,57,725,264,22,90,8
1/03/2011,0,47,74,94,758,304,14,79,14
1/04/2011,0,64,66,77,675,241,4,99,12
1/05/2011,2,55,76,77,834,265,10,82,9
1/06/2011,0,61,96,75,730,256,7,93,8
1/07/2011,1,42,82,84,671,261,4,79,7
1/08/2011,0,42,57,75,745,227,8,138,46
1/09/2011,1,46,75,61,734,261,5,83,11
1/10/2011,0,57,87,71,817,290,5,64,10
1/11/2011,0,69,85,84,744,292,3,89,17
1/12/2011,0,70,79,83,705,234,7,86,4
1/01/2012,0,94,109,86,774,260,5,111,9
1/02/2012,0,70,96,83,697,214,7,74,14
1/03/2012,4,75,108,100,747,255,6,114,15
1/04/2012,0,72,87,82,662,248,14,158,12
1/05/2012,2,47,68,74,670,210,5,155,19
1/06/2012,1,59,47,60,662,191,6,138,22
1/07/2012,1,66,67,80,571,225,2,114,20
1/08/2012,1,64,98,56,584,218,3,96,18
1/09/2012,1,76,70,48,593,239,1,117,10
1/10/2012,1,61,64,93,803,304,28,110,14
1/11/2012,0,77,111,95,617,239,8,97,22
1/12/2012,0,88,100,107,786,269,10,90,22
1/01/2013,1,87,105,126,822,235,4,112,21
1/02/2013,1,74,73,86,683,198,5,97,20
1/03/2013,0,83,77,89,751,277,6,194,14
1/04/2013,0,70,55,68,628,190,6,130,25
1/05/2013,1,62,65,73,669,232,9,136,30
1/06/2013,1,42,62,62,557,249,4,75,10
1/07/2013,0,88,57,64,663,239,1,101,12
1/08/2013,0,105,85,64,598,212,6,106,25
1/09/2013,0,87,88,73,563,206,3,171,27
1/10/2013,0,83,57,73,730,258,5,119,16
1/11/2013,0,104,91,68,738,231,7,156,15
1/12/2013,1,84,97,117,798,228,9,166,18
1/01/2014,3,88,86,105,886,272,12,149,21
1/02/2014,0,99,65,87,704,226,4,154,34
1/03/2014,0,96,77,106,726,236,4,160,21
1/04/2014,3,106,71,85,581,205,6,187,9
1/05/2014,0,95,55,91,716,229,8,175,24
1/06/2014,2,83,43,66,705,210,1,176,33
1/07/2014,0,96,51,69,765,187,6,94,14
1/08/2014,1,88,100,92,754,214,10,127,22
1/09/2014,0,82,58,75,743,195,8,181,36
1/10/2014,1,86,62,68,830,215,2,200,45
1/11/2014,0,84,71,86,765,224,8,185,16
1/12/2014,3,124,86,74,767,249,7,204,43
1/01/2015,0,137,79,73,798,277,8,190,23
1/02/2015,0,104,83,62,840,247,6,190,21
1/03/2015,0,119,93,91,929,287,20,231,23
1/04/2015,2,102,58,74,1002,317,8,205,28
