Month and Year,Homicide Total,Assault (Family) Total,Assault (Non-Family) Total,Stealing of Motor Vehicle,Stealing Total,Property Damage Total,Arson Total,Drug Offences Total,Regulated Weapons Offences
1/01/2007,1,75,79,51,598,318,16,107,16
1/02/2007,0,61,102,50,531,264,10,99,14
1/03/2007,0,80,103,44,571,347,9,100,9
1/04/2007,0,59,94,41,524,272,8,130,8
1/05/2007,2,61,94,42,565,290,4,160,10
1/06/2007,0,63,81,53,491,272,8,144,17
1/07/2007,5,31,82,66,561,288,5,191,16
1/08/2007,1,62,72,57,501,302,7,179,19
1/09/2007,0,52,78,57,629,260,7,133,18
1/10/2007,1,49,81,70,740,350,15,147,17
1/11/2007,2,64,100,60,773,323,11,85,13
1/12/2007,3,54,110,53,649,312,12,103,20
1/01/2008,0,63,105,65,697,386,14,123,31
1/02/2008,0,41,98,64,669,321,12,112,10
1/03/2008,1,58,101,72,727,339,9,132,22
1/04/2008,0,45,78,75,755,374,6,119,10
1/05/2008,0,43,89,69,771,329,15,151,11
1/06/2008,4,48,74,73,699,303,7,129,23
1/07/2008,0,47,62,67,731,312,10,164,21
1/08/2008,1,47,93,49,635,294,6,174,24
1/09/2008,2,46,100,52,591,292,12,169,21
1/10/2008,0,54,118,52,638,349,10,99,19
1/11/2008,0,61,111,57,555,332,11,102,22
1/12/2008,0,61,93,37,582,341,10,101,24
1/01/2009,2,56,122,57,721,326,18,80,2
1/02/2009,0,61,116,62,583,311,16,143,22
1/03/2009,1,49,105,67,634,355,18,135,19
1/04/2009,0,50,92,53,580,301,7,96,16
1/05/2009,1,62,79,54,579,316,15,106,18
1/06/2009,0,49,79,50,587,361,24,119,23
1/07/2009,1,48,92,47,488,281,7,116,15
1/08/2009,0,45,126,63,487,278,16,94,9
1/09/2009,0,48,83,42,499,278,12,121,23
1/10/2009,4,62,93,56,494,309,7,127,11
1/11/2009,0,48,79,48,447,288,5,108,22
1/12/2009,0,55,87,46,455,296,4,81,9
1/01/2010,0,65,116,55,605,322,12,105,15
1/02/2010,0,61,78,68,484,256,7,82,8
1/03/2010,2,48,113,78,560,269,12,127,14
1/04/2010,0,42,97,41,461,256,1,113,18
1/05/2010,0,55,71,58,441,237,10,114,17
1/06/2010,1,49,76,87,481,210,2,156,15
1/07/2010,0,74,85,58,457,251,7,83,14
1/08/2010,1,77,109,48,506,251,6,146,17
1/09/2010,0,84,59,51,434,209,10,142,25
1/10/2010,1,104,94,68,520,293,25,83,13
1/11/2010,1,83,90,48,580,274,7,49,13
1/12/2010,0,120,117,50,485,276,11,71,11
1/01/2011,1,116,114,61,571,311,9,55,16
1/02/2011,2,114,109,53,536,242,3,71,8
1/03/2011,0,79,104,67,624,279,10,227,30
1/04/2011,1,71,87,67,544,268,2,106,11
1/05/2011,3,85,96,50,608,268,5,95,13
1/06/2011,0,75,76,56,553,226,4,68,14
1/07/2011,0,87,67,77,524,333,4,133,16
1/08/2011,0,70,90,63,529,314,2,85,13
1/09/2011,0,64,89,71,512,223,9,137,21
1/10/2011,0,112,90,55,533,257,8,84,9
1/11/2011,0,79,97,68,589,254,13,92,10
1/12/2011,2,105,83,69,503,274,5,81,15
1/01/2012,0,105,121,88,569,283,10,82,34
1/02/2012,2,107,99,103,608,270,17,118,31
1/03/2012,0,99,99,96,589,243,12,115,38
1/04/2012,0,94,71,87,674,229,6,129,38
1/05/2012,2,105,66,82,648,241,2,139,25
1/06/2012,1,83,73,69,484,217,7,109,20
1/07/2012,1,79,64,63,512,250,7,106,14
1/08/2012,0,98,72,82,627,231,8,146,36
1/09/2012,0,76,79,68,603,241,12,82,34
1/10/2012,0,116,108,132,776,296,5,87,15
1/11/2012,0,137,86,97,674,237,11,118,14
1/12/2012,0,162,106,117,791,348,11,92,29
1/01/2013,0,138,102,105,757,324,16,109,22
1/02/2013,0,115,119,84,786,227,12,80,16
1/03/2013,1,151,94,68,687,280,8,81,33
1/04/2013,1,142,86,85,583,249,9,109,45
1/05/2013,1,116,84,75,702,257,5,133,21
1/06/2013,0,142,79,61,769,257,15,89,28
1/07/2013,0,125,54,65,728,297,11,143,25
1/08/2013,0,141,88,83,766,258,6,194,31
1/09/2013,2,178,88,99,690,234,13,157,39
1/10/2013,0,130,87,74,738,288,13,210,37
1/11/2013,0,166,92,70,749,306,8,125,32
1/12/2013,0,152,72,83,822,305,13,116,18
1/01/2014,0,155,100,100,875,370,14,105,32
1/02/2014,0,151,101,94,692,274,15,154,36
1/03/2014,2,153,87,95,741,274,15,160,35
1/04/2014,1,145,82,80,611,228,9,145,18
1/05/2014,0,145,82,67,761,242,5,147,26
1/06/2014,0,143,79,63,682,219,6,155,19
1/07/2014,0,151,81,68,634,257,10,183,34
1/08/2014,1,140,80,62,622,264,6,162,37
1/09/2014,0,147,72,67,687,264,9,185,20
1/10/2014,0,145,93,68,759,285,8,170,41
1/11/2014,2,163,96,65,766,271,8,179,44
1/12/2014,0,202,94,66,794,282,9,231,37
1/01/2015,0,219,115,88,909,326,17,232,37
1/02/2015,0,173,118,63,784,253,25,134,40
1/03/2015,0,185,100,56,732,297,15,210,51
1/04/2015,0,157,71,66,739,277,18,226,30
1/05/2015,2,169,79,72,722,263,12,267,71
1/06/2015,1,154,86,67,801,272,5,203,39
1/07/2015,1,178,90,90,790,262,14,212,48
1/08/2015,0,171,105,87,777,279,7,233,41
1/09/2015,1,189,86,86,648,314,10,318,49
1/10/2015,1,189,96,97,747,368,9,186,44
1/11/2015,0,208,135,70,835,377,9,257,41
1/12/2015,3,246,104,80,839,355,11,194,31
1/01/2016,0,264,111,82,959,346,18,224,31
1/02/2016,1,234,113,73,925,316,11,235,43
1/03/2016,1,242,125,88,832,350,7,229,46
1/04/2016,1,198,75,67,675,266,9,191,32
1/05/2016,1,186,90,99,792,306,6,262,25
1/06/2016,3,197,94,82,777,310,3,317,64
1/07/2016,0,173,83,67,680,283,9,208,39
1/08/2016,0,140,79,60,724,304,9,336,55
1/09/2016,2,163,86,87,752,286,15,212,44
1/10/2016,1,206,90,103,714,257,6,211,68
1/11/2016,0,248,102,100,749,341,11,251,35
1/12/2016,1,236,139,93,666,365,21,280,69
1/01/2017,2,217,108,107,824,375,19,182,45
1/02/2017,3,199,104,82,706,254,11,227,48
1/03/2017,0,178,135,71,800,294,6,272,52
1/04/2017,0,142,98,66,679,303,6,196,36
1/05/2017,0,185,94,66,684,224,9,220,45
1/06/2017,1,144,89,73,689,242,7,231,55
1/07/2017,2,164,76,70,666,254,5,230,55
1/08/2017,0,170,100,76,678,260,9,301,62
1/09/2017,0,200,74,58,606,244,7,220,38
1/10/2017,2,193,94,53,669,329,11,260,46
1/11/2017,0,199,120,50,631,270,12,269,55
1/12/2017,1,198,107,70,629,272,17,175,26
1/01/2018,0,209,89,72,694,269,16,209,42
1/02/2018,0,179,97,44,625,248,25,190,52
1/03/2018,1,170,108,77,739,246,5,258,58
1/04/2018,2,176,108,58,671,201,7,250,33
1/05/2018,0,153,112,64,811,279,7,276,60
1/06/2018,0,156,62,34,760,208,6,333,60
1/07/2018,1,156,83,68,732,236,3,269,57
1/08/2018,0,144,92,52,634,209,8,356,60
1/09/2018,3,164,74,57,691,232,7,253,54
1/10/2018,1,154,106,73,854,268,8,209,43
1/11/2018,0,162,91,60,765,207,8,206,42
1/12/2018,0,219,94,66,768,286,12,177,22
1/01/2019,0,201,90,82,846,295,11,263,37
1/02/2019,2,157,95,54,763,237,12,129,25
1/03/2019,0,170,89,64,739,280,16,215,39
1/04/2019,2,170,94,69,718,238,8,154,29
1/05/2019,1,131,83,85,824,256,6,280,60
1/06/2019,2,141,79,52,813,229,8,208,16
1/07/2019,0,122,64,63,751,236,8,184,28
1/08/2019,0,150,99,77,777,222,1,274,30
1/09/2019,0,181,106,68,775,235,5,235,34
1/10/2019,1,178,99,64,790,226,8,237,48
1/11/2019,1,182,84,71,758,239,8,190,51
1/12/2019,1,211,114,72,743,189,12,188,21
1/01/2020,1,183,108,58,821,263,22,225,64
1/02/2020,3,183,115,72,759,248,10,142,35
1/03/2020,1,205,120,53,681,242,20,219,43
1/04/2020,1,153,74,40,434,200,5,272,50
1/05/2020,3,165,95,47,439,183,5,219,38
1/06/2020,1,159,118,35,450,173,3,238,27
1/07/2020,1,154,93,24,417,197,6,203,31
1/08/2020,6,162,93,44,317,224,7,191,29
1/09/2020,0,184,86,56,416,165,4,169,37
1/10/2020,0,179,117,41,468,254,6,183,30
1/11/2020,3,191,111,48,489,227,9,155,25
1/12/2020,2,238,87,49,472,219,11,166,47
1/01/2021,1,204,95,54,533,226,13,162,19
1/02/2021,0,171,107,47,503,196,6,121,26
1/03/2021,1,201,122,75,617,229,10,209,57
1/04/2021,1,135,68,55,526,199,11,172,18
1/05/2021,1,155,112,59,502,223,6,134,21
1/06/2021,0,170,97,57,570,182,9,172,39
1/07/2021,1,174,69,52,659,245,6,139,24
1/08/2021,1,179,100,59,646,188,5,148,27
1/09/2021,0,164,86,51,440,232,9,128,35
1/10/2021,1,144,102,61,487,230,3,95,33
1/11/2021,0,182,87,69,564,260,5,90,15
1/12/2021,0,206,127,52,531,205,11,170,19
1/01/2022,0,188,110,57,537,220,7,138,25
1/02/2022,1,201,119,46,518,189,6,139,27
1/03/2022,1,197,120,44,599,188,10,160,20
1/04/2022,2,185,89,37,599,182,8,198,11
1/05/2022,0,196,81,45,594,170,3,170,17
1/06/2022,1,189,92,47,624,188,3,182,34
1/07/2022,0,186,79,35,544,184,7,172,20
1/08/2022,0,195,119,53,618,197,4,175,27
1/09/2022,0,215,93,49,527,214,9,156,30
1/10/2022,0,250,109,37,614,217,4,127,21
1/11/2022,0,239,140,33,619,227,9,155,33
1/12/2022,0,296,128,61,575,208,8,138,32
