Month and Year,Homicide Total,Assault (Family) Total,Assault (Non-Family) Total,Stealing of Motor Vehicle,Stealing Total,Property Damage Total,Arson Total,Drug Offences Total,Regulated Weapons Offences
1/01/2007,9,531,748,582,5798,2822,86,972,113
1/02/2007,2,449,772,519,5010,2402,75,925,126
1/03/2007,5,457,867,520,5462,2714,72,908,126
1/04/2007,0,384,784,440,5062,2361,51,1022,134
1/05/2007,12,367,722,478,5502,2463,58,1397,162
1/06/2007,3,372,702,387,5031,2384,64,1299,176
1/07/2007,5,340,700,485,5118,2396,49,1082,116
1/08/2007,9,389,721,467,5309,2592,51,1146,140
1/09/2007,8,432,774,468,5262,2461,53,1088,122
1/10/2007,5,383,753,507,5807,2823,84,917,115
1/11/2007,8,463,901,458,5426,2683,84,871,118
1/12/2007,9,454,908,481,5372,2926,87,872,160
1/01/2008,6,478,925,580,5746,3057,120,730,131
1/02/2008,2,455,830,620,5408,2743,83,878,133
1/03/2008,11,424,790,582,5604,2675,117,877,144
1/04/2008,6,350,691,514,5855,2570,61,896,150
1/05/2008,2,368,797,523,6197,2589,68,1243,145
1/06/2008,8,303,699,537,5960,2653,61,1089,172
1/07/2008,4,327,659,484,5620,2497,62,1156,152
1/08/2008,5,296,820,520,5452,2403,69,1101,172
1/09/2008,6,318,813,437,5506,2564,71,1006,141
1/10/2008,5,370,901,464,5708,2711,64,1027,124
1/11/2008,6,406,850,482,5104,2627,76,914,136
1/12/2008,1,444,761,386,4803,2599,99,991,142
1/01/2009,5,480,920,527,5543,2843,107,1030,95
1/02/2009,5,426,825,475,5128,2486,78,949,123
1/03/2009,6,406,985,519,5228,2851,105,975,133
1/04/2009,4,378,766,523,4740,2489,97,1077,113
1/05/2009,2,356,828,508,4951,2468,119,1131,110
1/06/2009,1,396,704,435,5137,2622,68,1135,124
1/07/2009,5,410,739,396,4298,2434,68,1192,157
1/08/2009,3,411,877,405,4163,2284,71,1032,119
1/09/2009,2,367,722,340,4356,2168,84,1057,148
1/10/2009,12,391,881,374,4769,2488,90,947,106
1/11/2009,4,445,843,309,4173,2327,63,910,123
1/12/2009,3,511,871,333,4496,2334,77,905,124
1/01/2010,6,515,852,484,4546,2486,87,700,105
1/02/2010,7,411,770,369,4327,1984,64,826,112
1/03/2010,5,465,851,439,4647,2083,56,844,122
1/04/2010,3,346,719,422,4093,1870,44,904,123
1/05/2010,5,377,679,382,4311,1883,40,999,121
1/06/2010,3,377,636,421,4034,1780,32,955,116
1/07/2010,3,395,664,399,3899,1877,46,1047,88
1/08/2010,5,410,766,387,4036,1952,82,793,111
1/09/2010,5,453,722,411,4581,2039,55,875,126
1/10/2010,4,527,792,416,4638,2319,91,672,91
