Month and Year,Homicide Total,Assault (Family) Total,Assault (Non-Family) Total,Stealing of Motor Vehicle,Stealing Total,Property Damage Total,Arson Total,Drug Offences Total,Regulated Weapons Offences
1/01/2007,0,73,67,85,539,322,20,132,18
1/02/2007,0,65,91,41,435,214,12,119,25
1/03/2007,0,56,88,52,471,245,16,128,9
1/04/2007,0,50,75,57,487,226,3,161,29
1/05/2007,2,64,70,49,591,253,7,214,19
1/06/2007,0,47,61,52,542,288,15,194,27
1/07/2007,0,53,89,72,481,253,5,112,9
1/08/2007,0,62,69,48,614,306,7,139,21
1/09/2007,0,70,82,51,522,276,11,144,13
1/10/2007,0,45,93,49,523,322,16,78,15
1/11/2007,2,50,89,51,507,265,16,98,16
1/12/2007,2,67,89,65,609,335,14,108,18
1/01/2008,1,81,92,108,592,407,27,44,11
1/02/2008,1,73,93,93,581,309,18,107,18
1/03/2008,8,61,71,89,606,300,33,89,11
1/04/2008,0,58,54,81,533,269,12,120,18
1/05/2008,0,51,79,64,603,330,7,172,24
1/06/2008,0,47,76,87,573,283,5,125,15
1/07/2008,1,66,89,52,560,289,10,123,21
1/08/2008,1,50,76,60,520,292,6,149,31
1/09/2008,0,52,80,45,539,309,14,100,8
1/10/2008,1,51,79,66,616,320,4,117,13
1/11/2008,2,52,83,40,534,287,17,101,22
1/12/2008,0,89,68,57,470,280,27,83,16
1/01/2009,0,82,85,70,532,378,21,94,20
1/02/2009,0,68,96,68,547,307,7,78,10
1/03/2009,2,68,112,50,517,337,21,83,14
1/04/2009,0,72,82,63,478,316,17,116,14
1/05/2009,0,59,79,68,581,266,35,143,19
1/06/2009,0,38,67,54,514,274,7,106,4
1/07/2009,0,44,65,69,467,252,9,159,18
1/08/2009,0,74,61,43,391,270,11,116,13
1/09/2009,0,47,56,43,392,244,17,137,7
1/10/2009,0,57,84,27,497,278,22,103,11
1/11/2009,0,64,90,28,434,293,8,91,6
1/12/2009,1,91,78,38,457,301,14,94,24
1/01/2010,0,80,95,52,422,301,24,58,10
1/02/2010,1,62,107,29,400,246,17,86,14
1/03/2010,1,98,97,46,452,261,8,80,17
1/04/2010,0,51,71,59,405,191,7,156,17
1/05/2010,2,70,73,43,437,234,6,87,11
1/06/2010,0,66,68,40,450,219,2,116,28
1/07/2010,0,65,95,49,435,233,4,80,11
1/08/2010,0,58,103,48,430,267,17,67,17
1/09/2010,1,67,80,56,483,280,7,66,12
1/10/2010,0,64,97,43,506,335,7,82,13
1/11/2010,1,74,114,62,455,292,11,80,25
1/12/2010,0,97,91,86,533,345,7,66,23
1/01/2011,0,102,80,64,532,306,6,52,27
1/02/2011,2,86,96,47,409,277,9,58,23
1/03/2011,1,105,128,49,483,329,14,95,15
1/04/2011,0,98,80,64,497,269,13,102,18
1/05/2011,1,89,84,51,540,272,4,84,13
1/06/2011,0,59,78,56,576,294,7,50,9
1/07/2011,0,61,73,53,536,280,6,81,22
1/08/2011,1,81,75,57,510,284,7,97,45
1/09/2011,1,66,73,54,556,262,5,81,26
1/10/2011,0,105,77,66,564,391,7,98,21
1/11/2011,0,87,90,63,519,235,6,69,12
1/12/2011,0,113,91,67,524,264,10,105,20
1/01/2012,1,102,81,81,576,294,18,221,50
1/02/2012,0,103,89,52,501,240,11,61,12
1/03/2012,0,106,82,75,553,224,5,81,23
1/04/2012,0,89,74,67,510,250,21,110,26
1/05/2012,2,91,70,62,528,229,8,135,29
1/06/2012,2,79,74,60,532,231,2,106,20
1/07/2012,1,77,67,75,481,239,8,73,19
1/08/2012,2,88,70,66,436,214,6,97,17
1/09/2012,1,95,74,67,452,263,7,79,11
1/10/2012,0,100,66,96,608,309,9,88,9
1/11/2012,0,71,70,51,548,332,10,73,15
1/12/2012,4,125,89,77,573,263,16,88,11
1/01/2013,0,125,71,80,544,280,23,79,12
1/02/2013,0,93,107,94,518,255,9,71,28
1/03/2013,0,94,74,81,593,205,42,83,18
1/04/2013,0,109,78,62,591,261,20,95,12
1/05/2013,0,97,56,65,564,210,4,95,37
1/06/2013,1,92,73,53,644,206,9,127,25
1/07/2013,3,101,47,40,497,195,0,114,25
1/08/2013,0,128,73,39,491,251,4,75,39
1/09/2013,0,119,67,45,518,211,9,106,17
1/10/2013,0,108,75,74,601,234,9,87,11
1/11/2013,1,122,68,57,531,251,20,77,32
1/12/2013,0,126,70,90,520,220,11,105,26
1/01/2014,1,127,82,84,623,271,21,113,19
1/02/2014,0,117,79,64,498,191,19,118,22
1/03/2014,1,148,89,84,537,251,10,83,21
