Month and Year,Homicide Total,Assault (Family) Total,Assault (Non-Family) Total,Stealing of Motor Vehicle,Stealing Total,Property Damage Total,Arson Total,Drug Offences Total,Regulated Weapons Offences
1/01/2007,0,88,107,80,828,379,11,127,13
1/02/2007,0,69,111,93,672,375,11,128,13
1/03/2007,1,62,126,74,818,359,6,138,22
1/04/2007,0,57,93,49,797,343,8,123,22
1/05/2007,1,47,63,57,731,329,8,177,20
1/06/2007,0,62,83,59,658,312,8,132,15
1/07/2007,0,47,60,67,698,309,5,125,19
1/08/2007,4,61,99,71,705,339,5,129,15
1/09/2007,1,63,82,68,696,301,5,153,11
1/10/2007,4,56,84,77,827,379,12,154,17
1/11/2007,1,66,110,79,767,378,10,147,20
1/12/2007,0,55,108,75,807,346,7,127,16
1/01/2008,0,67,117,73,828,378,20,92,15
1/02/2008,0,76,107,81,753,379,12,124,13
1/03/2008,0,63,93,63,694,337,7,145,35
1/04/2008,3,53,98,49,726,299,9,120,24
1/05/2008,0,50,101,62,788,334,8,132,18
1/06/2008,0,43,94,69,820,356,11,146,21
1/07/2008,1,40,104,64,780,304,12,169,24
1/08/2008,1,42,114,92,824,334,13,138,18
1/09/2008,0,62,99,69,762,310,16,133,16
1/10/2008,0,59,102,68,789,345,7,132,19
1/11/2008,0,85,122,69,751,328,15,124,24
1/12/2008,0,59,94,52,755,332,13,180,27
1/01/2009,1,69,116,68,850,370,17,162,14
1/02/2009,1,59,128,64,704,323,5,126,18
1/03/2009,2,71,120,63,704,377,6,145,18
1/04/2009,1,70,75,77,706,285,11,142,15
1/05/2009,1,46,116,58,661,296,11,99,8
1/06/2009,0,71,88,56,658,314,10,135,11
1/07/2009,1,78,88,35,550,304,12,145,15
1/08/2009,2,57,98,35,537,254,5,110,15
1/09/2009,0,63,86,36,602,283,9,152,25
1/10/2009,2,66,124,46,689,308,15,142,23
1/11/2009,0,75,123,40,680,335,7,173,23
1/12/2009,2,93,131,41,685,319,12,159,15
1/01/2010,1,97,106,69,658,368,12,113,22
1/02/2010,2,87,89,52,599,268,9,118,18
1/03/2010,0,74,108,56,625,257,6,134,13
1/04/2010,1,65,73,58,609,254,8,122,15
1/05/2010,1,80,85,54,592,254,3,182,26
1/06/2010,0,62,77,48,616,291,6,169,11
1/07/2010,2,68,77,52,573,281,4,205,14
1/08/2010,0,71,102,44,574,267,15,125,17
1/09/2010,1,64,89,51,650,261,9,91,13
1/10/2010,1,74,90,65,683,294,10,86,15
1/11/2010,0,64,72,64,665,293,3,89,11
1/12/2010,12,87,81,58,608,288,7,64,13
1/01/2011,0,79,74,80,669,307,7,80,3
1/02/2011,1,84,79,61,672,266,11,102,13
1/03/2011,1,56,101,81,783,337,4,110,21
1/04/2011,2,54,70,80,775,282,11,117,10
1/05/2011,1,54,104,90,779,251,4,115,14
1/06/2011,0,42,63,81,845,314,11,114,18
1/07/2011,0,39,74,88,694,301,4,76,15
1/08/2011,3,55,74,71,747,320,4,154,35
1/09/2011,4,55,84,84,801,335,5,142,32
1/10/2011,0,45,94,99,917,381,11,118,10
1/11/2011,0,38,76,71,810,319,12,82,23
1/12/2011,0,53,94,78,838,292,6,109,10
1/01/2012,0,67,89,92,844,294,5,109,28
1/02/2012,1,54,67,101,904,338,7,266,42
1/03/2012,1,64,99,83,845,278,9,114,18
1/04/2012,1,50,76,84,703,285,8,135,19
1/05/2012,0,41,81,86,851,279,5,131,23
1/06/2012,0,80,62,96,758,262,11,170,36
1/07/2012,1,86,63,84,786,275,8,209,23
1/08/2012,1,91,88,91,760,261,6,151,33
1/09/2012,1,98,82,97,890,276,5,151,26
1/10/2012,0,114,97,98,862,346,4,109,24
1/11/2012,0,103,91,133,800,289,2,130,26
1/12/2012,1,116,85,127,817,305,6,217,36
1/01/2013,1,83,92,145,802,283,15,124,31
1/02/2013,0,104,86,118,846,283,16,120,24
1/03/2013,1,90,98,86,706,249,10,156,35
1/04/2013,0,97,86,91,722,226,8,120,18
1/05/2013,0,94,75,72,756,235,16,118,30
1/06/2013,0,108,95,106,698,230,4,95,13
1/07/2013,1,114,57,90,794,236,7,93,15
1/08/2013,1,94,64,76,611,213,6,117,25
1/09/2013,0,92,76,83,688,209,8,138,25
1/10/2013,1,109,64,87,796,248,3,137,28
1/11/2013,0,87,83,89,755,217,6,121,20
1/12/2013,2,126,81,93,787,224,12,159,30
1/01/2014,0,120,77,110,914,231,8,128,26
1/02/2014,0,82,59,82,742,226,10,104,11
1/03/2014,0,105,86,94,803,252,3,142,22
1/04/2014,0,83,48,82,845,247,7,154,50
1/05/2014,0,89,81,71,932,240,5,168,24
1/06/2014,0,79,72,95,814,242,5,124,29
1/07/2014,1,59,53,86,801,241,9,173,30
1/08/2014,2,73,79,66,814,226,11,156,26
1/09/2014,0,68,69,83,790,237,4,200,30
1/10/2014,1,73,68,77,800,235,4,196,40
1/11/2014,1,102,51,79,718,227,6,124,16
1/12/2014,0,118,84,93,784,271,9,220,24
1/01/2015,1,139,68,110,865,283,9,163,23
1/02/2015,1,117,78,96,829,248,6,172,31
1/03/2015,0,125,93,97,847,261,11,194,39
1/04/2015,0,111,65,77,757,221,6,206,37
1/05/2015,0,143,73,73,880,254,2,278,39
1/06/2015,0,156,69,74,900,263,4,188,42
1/07/2015,0,151,78,82,868,267,3,204,29
1/08/2015,2,152,70,62,810,231,3,183,31
1/09/2015,1,114,81,71,770,254,6,160,37
1/10/2015,1,173,91,84,884,270,5,187,35
1/11/2015,0,163,101,72,857,284,5,203,39
1/12/2015,0,177,102,81,762,330,6,232,48
1/01/2016,0,193,91,111,844,340,14,239,32
1/02/2016,0,179,75,96,827,298,4,240,45
1/03/2016,0,187,61,82,774,264,7,320,24
1/04/2016,0,172,74,58,728,267,6,249,39
1/05/2016,1,164,67,82,772,270,7,296,32
1/06/2016,0,155,65,83,741,293,4,306,36
1/07/2016,1,134,71,74,818,265,6,316,29
1/08/2016,1,149,83,83,802,334,5,286,30
1/09/2016,0,135,71,72,792,235,5,286,47
1/10/2016,4,111,86,81,830,287,6,238,32
1/11/2016,1,126,72,72,847,255,5,267,35
1/12/2016,0,148,73,77,760,303,13,197,31
1/01/2017,0,134,102,94,833,321,14,288,34
1/02/2017,0,123,74,75,708,274,4,280,33
1/03/2017,2,118,68,72,773,242,7,337,62
1/04/2017,1,108,86,73,763,244,7,257,24
1/05/2017,0,130,90,84,863,240,6,246,31
1/06/2017,2,97,85,96,812,204,11,269,71
1/07/2017,3,105,60,62,809,208,11,240,25
1/08/2017,1,117,84,52,815,227,7,313,60
1/09/2017,0,122,75,58,774,204,2,244,41
1/10/2017,0,114,81,69,887,237,4,192,19
1/11/2017,0,143,78,46,764,248,10,239,35
1/12/2017,0,140,96,72,726,241,7,226,38
1/01/2018,0,148,94,79,848,247,8,204,24
1/02/2018,1,90,93,67,831,207,6,206,26
1/03/2018,0,128,89,70,872,207,6,236,27
1/04/2018,0,114,91,62,709,177,3,188,40
1/05/2018,0,96,87,60,862,183,2,235,31
1/06/2018,1,124,65,60,975,182,4,267,39
1/07/2018,2,103,64,50,909,191,7,184,20
1/08/2018,0,120,65,58,907,189,6,290,31
1/09/2018,6,142,73,66,857,191,9,222,48
1/10/2018,0,121,70,77,1162,248,3,234,51
1/11/2018,0,99,98,80,957,208,3,247,21
1/12/2018,1,150,90,72,845,236,6,243,33
1/01/2019,0,123,96,61,781,230,7,188,27
1/02/2019,1,103,69,66,764,193,4,169,25
1/03/2019,0,126,61,56,770,181,10,230,30
1/04/2019,1,99,71,75,784,221,2,200,23
1/05/2019,1,112,60,60,836,197,7,241,37
1/06/2019,1,101,62,63,791,194,5,241,33
1/07/2019,0,122,61,47,740,171,2,233,26
1/08/2019,1,119,98,59,877,236,5,267,47
1/09/2019,1,138,91,69,871,236,4,187,23
1/10/2019,0,120,77,67,970,259,4,220,43
1/11/2019,2,148,102,67,978,223,4,218,31
1/12/2019,0,146,92,77,834,211,7,234,30
1/01/2020,2,162,67,80,966,208,17,188,14
1/02/2020,0,147,92,70,922,223,7,250,24
1/03/2020,1,187,89,51,693,235,9,267,27
1/04/2020,0,147,83,33,458,138,6,265,33
1/05/2020,0,124,45,30,413,170,1,434,40
1/06/2020,0,140,81,36,466,171,4,304,37
1/07/2020,0,148,87,38,458,176,2,240,21
1/08/2020,1,124,80,25,346,157,8,184,20
1/09/2020,0,148,72,33,433,172,7,161,26
1/10/2020,0,191,86,41,475,179,3,175,20
1/11/2020,1,159,84,34,507,194,4,230,11
1/12/2020,0,168,76,38,522,186,4,171,20
1/01/2021,1,213,97,39,600,232,5,137,11
1/02/2021,0,133,76,33,495,174,8,140,6
1/03/2021,0,172,95,56,617,204,8,219,27
1/04/2021,0,151,69,47,511,188,8,179,29
1/05/2021,0,157,83,45,586,206,5,189,47
1/06/2021,0,146,65,56,644,168,2,132,14
1/07/2021,1,162,93,47,616,218,7,155,17
1/08/2021,1,174,85,39,567,200,6,161,10
1/09/2021,1,118,74,30,641,183,7,120,18
1/10/2021,1,140,105,31,666,186,12,171,19
1/11/2021,0,140,79,35,645,175,7,192,13
1/12/2021,0,191,95,48,581,239,3,152,14
1/01/2022,0,136,83,56,624,246,10,156,26
1/02/2022,1,119,82,49,553,194,11,152,25
1/03/2022,1,152,90,58,662,194,9,157,23
1/04/2022,0,125,108,56,656,206,7,126,19
1/05/2022,0,136,97,53,748,171,2,171,29
1/06/2022,2,143,97,45,635,164,8,172,28
1/07/2022,0,124,57,51,660,195,5,137,22
1/08/2022,0,162,76,58,787,185,3,167,31
1/09/2022,0,168,120,51,685,208,6,164,33
1/10/2022,0,155,100,72,877,253,6,272,28
1/11/2022,1,168,77,59,803,221,5,116,27
1/12/2022,0,190,91,61,747,236,4,127,38
