Month and Year,Homicide Total,Assault (Family) Total,Assault (Non-Family) Total,Stealing of Motor Vehicle,Stealing Total,Property Damage Total,Arson Total,Drug Offences Total,Regulated Weapons Offences
1/01/2007,0,33,186,42,800,275,3,146,20
1/02/2007,0,24,162,51,753,219,5,153,16
1/03/2007,0,19,167,48,796,312,2,109,26
1/04/2007,0,23,176,60,705,239,3,159,24
1/05/2007,1,16,162,45,760,268,2,206,36
1/06/2007,0,21,153,35,731,242,3,130,24
1/07/2007,0,16,169,36,763,267,3,145,27
1/08/2007,0,12,162,28,754,217,4,146,29
1/09/2007,1,19,197,33,815,262,0,155,20
1/10/2007,0,25,190,28,912,309,4,155,22
1/11/2007,1,21,176,29,875,333,4,121,18
1/12/2007,1,25,221,40,815,283,10,127,12
1/01/2008,2,23,203,47,847,300,9,95,22
1/02/2008,0,21,139,59,768,294,5,115,24
1/03/2008,1,26,181,40,814,286,3,97,18
1/04/2008,0,14,172,42,1038,327,4,134,16
1/05/2008,0,15,161,48,952,258,4,178,16
1/06/2008,1,20,143,52,1005,282,5,139,12
1/07/2008,0,17,143,47,861,252,0,163,19
1/08/2008,1,8,192,45,859,260,3,179,23
1/09/2008,1,10,162,25,822,241,2,147,19
1/10/2008,0,25,181,32,864,265,3,143,23
1/11/2008,1,21,156,39,769,224,4,143,15
1/12/2008,0,24,172,28,722,241,5,134,17
1/01/2009,0,41,205,49,734,257,9,257,19
1/02/2009,2,27,148,47,721,240,9,172,15
1/03/2009,0,35,183,44,881,298,12,101,14
1/04/2009,0,19,197,29,721,233,7,208,13
1/05/2009,0,26,174,41,651,222,9,180,16
1/06/2009,1,24,149,25,774,272,5,161,20
1/07/2009,1,34,194,26,704,267,6,159,10
1/08/2009,1,18,210,36,739,267,4,178,22
1/09/2009,0,10,172,37,719,214,8,155,21
1/10/2009,0,24,187,32,748,246,1,143,12
1/11/2009,1,34,158,23,675,198,2,138,15
1/12/2009,0,37,162,24,656,199,4,96,11
1/01/2010,0,33,190,36,659,229,2,114,16
1/02/2010,0,24,157,20,661,197,3,133,16
1/03/2010,0,31,149,21,670,187,3,112,26
1/04/2010,0,23,162,15,521,139,3,126,14
1/05/2010,0,23,148,22,638,183,1,135,15
1/06/2010,0,20,149,28,555,170,3,95,7
1/07/2010,0,16,146,25,550,155,5,230,3
