Month and Year,Homicide Total,Assault (Family) Total,Assault (Non-Family) Total,Stealing of Motor Vehicle,Stealing Total,Property Damage Total,Arson Total,Drug Offences Total,Regulated Weapons Offences
1/01/2007,3,70,54,58,619,364,13,125,12
1/02/2007,1,57,78,42,542,308,13,96,8
1/03/2007,2,65,113,62,583,357,7,110,15
1/04/2007,0,53,89,42,531,350,5,103,23
1/05/2007,1,43,76,50,595,345,16,184,21
1/06/2007,0,47,111,42,557,318,8,192,18
1/07/2007,0,49,73,55,584,333,11,169,12
1/08/2007,2,55,77,54,644,351,5,141,10
1/09/2007,2,67,99,58,600,322,6,129,11
1/10/2007,0,57,73,64,641,353,5,108,16
1/11/2007,2,87,100,71,530,343,10,96,10
1/12/2007,1,60,104,52,582,362,18,100,17
1/01/2008,0,68,75,64,617,414,19,81,14
1/02/2008,0,81,100,70,599,360,10,77,9
1/03/2008,0,65,84,63,715,386,14,84,19
1/04/2008,0,53,49,50,658,316,9,133,27
1/05/2008,0,65,123,54,672,334,10,159,8
1/06/2008,2,38,85,61,673,354,5,150,14
1/07/2008,0,41,49,51,714,408,11,106,10
1/08/2008,0,31,99,58,677,332,11,131,19
1/09/2008,1,40,102,65,809,423,9,116,22
1/10/2008,2,43,118,48,692,353,10,187,25
1/11/2008,1,41,104,89,689,409,7,91,8
1/12/2008,0,40,94,60,628,346,14,128,12
1/01/2009,0,47,96,77,762,407,8,104,11
1/02/2009,1,43,78,43,631,331,13,107,18
1/03/2009,0,31,114,57,624,376,14,126,18
1/04/2009,2,30,84,66,563,355,28,158,16
1/05/2009,0,41,91,55,585,377,9,141,15
1/06/2009,0,57,75,46,602,328,6,114,13
1/07/2009,0,54,53,44,559,310,10,189,39
1/08/2009,0,42,100,65,498,286,8,123,17
1/09/2009,2,41,86,49,492,304,14,133,23
1/10/2009,4,49,94,55,613,314,22,117,20
1/11/2009,2,53,107,46,539,328,16,113,14
1/12/2009,0,63,76,42,570,300,22,127,17
1/01/2010,0,58,74,68,582,292,7,91,15
1/02/2010,1,38,88,66,612,261,7,104,19
1/03/2010,0,57,96,56,546,288,4,112,18
1/04/2010,0,34,75,48,491,236,5,115,19
1/05/2010,0,38,80,44,514,250,5,116,19
1/06/2010,0,45,66,35,455,239,4,123,7
1/07/2010,0,39,62,49,492,238,11,92,9
1/08/2010,0,27,71,49,481,249,16,83,2
1/09/2010,0,51,97,46,562,310,4,101,22
1/10/2010,0,91,98,44,508,318,16,83,20
1/11/2010,2,65,75,38,548,253,6,94,11
1/12/2010,1,80,80,67,525,343,9,80,10
